Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
pe,SF-SITE-101-BL-1,Ethernet3,10.0.0.1/31,p,SF-SITE-101-SPINE-1,Ethernet3,10.0.0.0/31
pe,SF-SITE-101-BL-1,Ethernet4,10.0.0.5/31,p,SF-SITE-101-SPINE-2,Ethernet3,10.0.0.4/31
pe,SF-SITE-101-BL-1,Ethernet7,10.0.0.8/31,rr,SF-SITE-101-RR-1,Ethernet3,10.0.0.9/31
pe,SF-SITE-101-BL-1,Ethernet9,10.1.0.2/31,pe,SF-SITE-102-BL-1,Ethernet9,10.1.0.3/31
pe,SF-SITE-101-BL-1,Ethernet10,10.1.0.0/31,pe,SF-SITE-104-BL-1,Ethernet10,10.1.0.1/31
pe,SF-SITE-101-BL-2,Ethernet3,10.0.0.3/31,p,SF-SITE-101-SPINE-1,Ethernet4,10.0.0.2/31
pe,SF-SITE-101-BL-2,Ethernet4,10.0.0.7/31,p,SF-SITE-101-SPINE-2,Ethernet4,10.0.0.6/31
pe,SF-SITE-101-BL-2,Ethernet7,10.0.0.10/31,rr,SF-SITE-101-RR-1,Ethernet4,10.0.0.11/31
pe,SF-SITE-101-BL-2,Ethernet9,10.1.0.4/31,pe,SF-SITE-103-BL-1,Ethernet9,10.1.0.5/31
pe,SF-SITE-102-BL-1,Ethernet3,10.1.0.1/31,p,SF-SITE-102-SPINE-1,Ethernet3,10.1.0.0/31
pe,SF-SITE-102-BL-1,Ethernet4,10.1.0.5/31,p,SF-SITE-102-SPINE-2,Ethernet3,10.1.0.4/31
pe,SF-SITE-102-BL-1,Ethernet6,10.1.0.7/31,pe,SF-SITE-104-BL-1,Ethernet6,10.1.0.6/31
pe,SF-SITE-102-BL-1,Ethernet7,10.1.0.8/31,rr,SF-SITE-102-RR-1,Ethernet3,10.1.0.9/31
pe,SF-SITE-102-BL-2,Ethernet3,10.1.0.3/31,p,SF-SITE-102-SPINE-1,Ethernet4,10.1.0.2/31
pe,SF-SITE-102-BL-2,Ethernet4,10.1.0.7/31,p,SF-SITE-102-SPINE-2,Ethernet4,10.1.0.6/31
pe,SF-SITE-102-BL-2,Ethernet7,10.1.0.10/31,rr,SF-SITE-102-RR-1,Ethernet4,10.1.0.11/31
pe,SF-SITE-102-BL-2,Ethernet10,10.1.0.8/31,pe,SF-SITE-103-BL-1,Ethernet10,10.1.0.9/31
